item_id,study_id,key_construct,key_breadth,key_denom_class
W50001,2-s2.0-105011756924,RECALL,false,population
W50002,W3171657220,RECALL,false,
W50003,W4210350805,RECALL,false,
W50004,W4210350805,RECALL,false,
W50005,W4210350805,RECALL,false,
W50006,W4210350805,RECALL,false,
W50007,W4210350805,RECALL,false,
W50008,W4306960737,CONTENT,misleading,curated_sample
W50009,W4306960737,CONTENT,misleading,curated_sample
W50010,W4306960737,CONTENT,misleading,curated_sample
W50011,W4313324568,RECALL,false,
W50012,W4313324568,RECALL,false,
W50013,W4318617911,CONTENT,misleading,curated_sample
W50014,W4383851554,CONTENT,false,curated_sample
W50015,W4385325063,EXPOSURE,,
W50016,W4389633384,CONTENT,misleading,
W50017,W4400887711,CONTENT,misleading,curated_sample
W50018,W4409319996,CONTENT,misleading,curated_sample
W50019,W4414259328,REACH,,
W50020,W4414351820,RECALL,false,
W50021,W4417119300,CONTENT,false,curated_sample
W50022,W7117302408,RECALL,false,
W50023,W7162938155,CONTENT,misleading,curated_sample
W50024,W7163821603,RECALL,misleading,
W50025,W7166447493,CONTENT,false,curated_sample
W50026,W7168027278,RECALL,misleading,
W50027,W7168027278,RECALL,misleading,
W50028,W7170181457,CONTENT,misleading,
W50029,W7170181457,CONTENT,misleading,curated_sample
W50030,W7170181457,CONTENT,misleading,
W50031,W7170181457,CONTENT,misleading,curated_sample
W50032,W7170181457,QUALITY,,
W50033,W7170181457,QUALITY,,curated_sample
W50034,W7170181457,QUALITY,,
W50035,W7170181457,QUALITY,,curated_sample
W50036,W7171843315,CONTENT,false,
W50037,2-s2.0-85145196122,CONTENT,false,topical
W50038,2-s2.0-85145196122,CONTENT,false,topical
