item_id,study_id,dim,codex,ours
W50036,W7171843315,construct,OTHER,CONTENT
W50018,W4409319996,breadth,FALSE,MISLEADING
W50022,W7117302408,breadth,MISLEADING,FALSE
W50025,W7166447493,breadth,MISLEADING,FALSE
W50008,W4306960737,denom_class,TOPICAL,CURATED_SAMPLE
W50009,W4306960737,denom_class,TOPICAL,CURATED_SAMPLE
W50010,W4306960737,denom_class,TOPICAL,CURATED_SAMPLE
W50018,W4409319996,denom_class,TOPICAL,CURATED_SAMPLE
W50021,W4417119300,denom_class,TOPICAL,CURATED_SAMPLE
W50023,W7162938155,denom_class,TOPICAL,CURATED_SAMPLE
W50029,W7170181457,denom_class,TOPICAL,CURATED_SAMPLE
W50031,W7170181457,denom_class,TOPICAL,CURATED_SAMPLE
W50033,W7170181457,denom_class,TOPICAL,CURATED_SAMPLE
W50035,W7170181457,denom_class,TOPICAL,CURATED_SAMPLE
