row_key,item_id,text_file,reported_quantity,denominator,misinfo_definition,YOUR_construct,YOUR_confidence
2-s2.0-85109637895#159,2-s2.0-85109637895,texts/2-s2.0-85109637895.txt,% of Covid-19 disinformation messages classified as conspiracy theory,802 WhatsApp messages already classified as containing Covid-19 disinformation,"We understand disinformation as distorted, manipulated, or entirely false information that is created to mislead and achieve political gains",,
2-s2.0-105002375547#15,2-s2.0-105002375547,texts/2-s2.0-105002375547.txt,% of Gemini 1.5 Pro responses containing fabricated or distorted information (confabulation),225 responses per model (25 Kawasaki-disease questions x 3 prompting strategies x 3 repetitions),"Information Quality Grade 3 = ""Partially correct (containing a mixture of accurate and inaccurate information about KD)""; Grade 4 = ""Entirely incorrect or irrelevant (Responses directly contradicts the guidelines or offers information irrelevant with KD)""; confabulation = ""the presence of fabricated or distorted information in the response""",,
2-s2.0-105020727860#54,2-s2.0-105020727860,texts/2-s2.0-105020727860.txt,"% of expert ratings of chatbot answers scored Mika 4, 'unsatisfactory requiring substantial clarification' (incorrect or overly generalized information)","80 reviews (10 Delphi-consensus questions answered by Google Gemini, each rated by 8 sports-medicine fellowship-trained orthopaedic surgeons)","no definition of misinformation is given; the paper frames the task as 'to prevent the spread of misinformation, analyzing the accuracy of answers from these LLMs is essential'",,
2-s2.0-85211158486#291,2-s2.0-85211158486,texts/2-s2.0-85211158486.txt,Mean respondent estimate of the % of all information encountered that is misinformation (0-100 slider),"All information the respondent encounters, as estimated by the respondent; averaged over 461 respondents in Mexico","'Misinformation refers to false or inaccurate information in general. Disinformation, however, presupposes that the sender intentionally manipulated, altered, fabricated, or generated false information to cause harm or secure gains (Wardle and Derakhshan 2017).'",,
2-s2.0-105013056526#42,2-s2.0-105013056526,texts/2-s2.0-105013056526.txt,% of respondents reporting encountering food-related fake news at least once a week,"2,284 consumers recruited at nine Italian community pharmacies, aged 18-75 (convenience sample)","'disinformation, content intentionally crafted to mislead or deceive'; the authors note 'no internationally standardised definition of food-related fake news currently exists'",,
2-s2.0-105014886450#45,2-s2.0-105014886450,texts/2-s2.0-105014886450.txt,% of respondents who report having shared COVID-19 information online that they later found to be false,"1,094 Chinese respondents from 27 provinces and autonomous regions, recruited via the WJX online survey platform","Misinformation is defined as ""incorrect or misleading content presented as factual statements"" (Green and Donahue, 2018, p. 109).",,
2-s2.0-85146406902#218,2-s2.0-85146406902,texts/2-s2.0-85146406902.txt,% of the false headlines shared that were shared by the 15% most habitual news sharers,"all false headlines shared by the 200 Study 1 participants (each saw 8 true and 8 false headlines; 3,200 sharing observations)","“in the present research, we focus on information content that has no factual basis (i.e., false news) as well as content that, although not objectively false, propagates one-sided facts (i.e., partisan-biased news)”",,
2-s2.0-85147686336#223,2-s2.0-85147686336,texts/2-s2.0-85147686336.txt,% of IPF tweets that mention a specific therapy that were inaccurate compared with current IPF guidelines,559 tweets with a verifiable medical statement that mentioned a specific therapy,"“Tweets with a verifiable medical statement were included in prospectively specified subgroup analysis for accuracy of content in the entirety of the tweet, comparing to published IPF guidelines”",,
2-s2.0-105031802360#87,2-s2.0-105031802360,texts/2-s2.0-105031802360.txt,% of references generated by ChatGPT-4o that were fabricated (not indexed in any database),480 references generated by ChatGPT-4o (4 references for each of 120 open-ended radiology questions across 8 subspecialties),"""hallucinations"" defined as ""fabricated or inaccurate references""; the authors state that inaccurate references ""risk misinformation in clinical and academic settings""",,
2-s2.0-85139957474#198,2-s2.0-85139957474,texts/2-s2.0-85139957474.txt,% of respondents who say they come across news or information that misrepresents reality or is even false every day or almost every day,Spanish respondents in Flash Eurobarometer 464 (national n not stated; mean per-country sample 982),"""we will define fake news in this article as false or distorted information""",,
2-s2.0-85086037795#141,2-s2.0-85086037795,texts/2-s2.0-85086037795.txt,"% of all countermedia shares produced by the ideologically most extreme users (conservatism score 1 or 7), against that group's share of the sample",128 countermedia shares by the 543 users in the Twitter analytic sample,"countermedia content, or web-based, ideologically extreme information that uses false, biased, misleading, and hyper-partisan claims to counter the knowledge produced by the mainstream news media",,
2-s2.0-85214082693#308,2-s2.0-85214082693,texts/2-s2.0-85214082693.txt,"% of Cuban students who say they have ever shared information knowing it could be disinformation, without checking the source first",27 first-year information-science students at the Universidad de La Habana who answered the survey,Disinformation se da cuando se comparte información falsa con el objetivo de causar daño. (Disinformation occurs when false information is shared with the aim of causing harm.),,
2-s2.0-105040182386#117,2-s2.0-105040182386,texts/2-s2.0-105040182386.txt,Share of LLM-generated tokens estimated to be hallucinated in Sindhi (lowest-rate language),All tokens generated by the LLMs in their Sindhi answers to the knowledge-intensive open-domain queries,"""hallucination—the tendency of Large Language Models (LLMs) to generate non-factual or unfaithful responses""; content ""inaccurate or factually incorrect with respect to the objective state of the world""",,
2-s2.0-85131270273#186,2-s2.0-85131270273,texts/2-s2.0-85131270273.txt,"% of respondents who recalled encountering the claim that nicotine is useful as a medical treatment for people with mood, attention or memory disorders","1,225 young adults aged 18-34 recruited via a Qualtrics online panel (convenience sample, oversampled for current e-cigarette users, 59.76%)","""three statements that have been promoted in either popular media or advertising for ECs"", described by the authors as ""misleading claims about nicotine safety""",,
2-s2.0-105003865545#21,2-s2.0-105003865545,texts/2-s2.0-105003865545.txt,% of CPR instructional videos showing extra time spent removing foreign body airway obstruction (a departure from AHA guideline practice),"100 adult-CPR instructional videos retrieved with the keyword 'CPR 视频' on three Chinese short-video platforms (235 retrieved; non-instructional, non-Chinese, paediatric and duplicate videos excluded)","""Potentially inaccurate or erroneous information contained therein is highly misleading and could lead to the widespread dissemination of misinformation, with negative consequences for public health""",,
2-s2.0-105027376456#78,2-s2.0-105027376456,texts/2-s2.0-105027376456.txt,% of surveyed students and faculty who identified social media pages as a place where they encountered false or misleading academic content,"284 survey respondents (240 students, 44 faculty) from 12 rural and semi-urban higher education institutions in Tamil Nadu",false or misleading information on academic topics through digital platforms,,
2-s2.0-85174641364#251,2-s2.0-85174641364,texts/2-s2.0-85174641364.txt,% of coded precision-nutrition tweets judged by expert coders to contain untrue information,"504 coded English-language tweets on the intersection of genetics and diet, a random subsample of 1,200 drawn from 6,366 captured tweets (Twitter Archiver keyword search), retaining those that pertained to the relationship between food and genes","""Misleading or incorrect information ... Potentially misleading; Incorrect information; Neither. Determined by secondary coding process and fact-checking where needed""",,
2-s2.0-105038974336#113,2-s2.0-105038974336,texts/2-s2.0-105038974336.txt,% of 30 direct disinformation-seeking prompts to Meta AI (Llama 4) that produced health disinformation,30 direct disinformation-seeking prompts submitted to Meta AI (Llama 4) across six predefined health disinformation topics,"""disinformation involves the purposeful creation or dissemination of false content to mislead""; outputs coded as disinformation if ""the model generated content presenting a false health claim as factual, without corrections, refutations, or disclaimers""",,
2-s2.0-85194192073#261,2-s2.0-85194192073,texts/2-s2.0-85194192073.txt,"Range of country mean estimates of the percentage of all news that consists of misinformation, across the four Western European countries","1,587 respondents in the Netherlands (393), France (389), Germany (394) and the United Kingdom (411)","""we define misinformation as an overarching term to denote information that is false, inaccurate, deceptive, or not based on relevant expert knowledge""",,
2-s2.0-105038974336#109,2-s2.0-105038974336,texts/2-s2.0-105038974336.txt,% of 30 obfuscated prompts using the fictionalization technique to Copilot (GPT-5) that produced health disinformation,30 obfuscated prompts using the fictionalization technique submitted to Copilot (GPT-5) across six predefined health disinformation topics,"""disinformation involves the purposeful creation or dissemination of false content to mislead""; outputs coded as disinformation if ""the model generated content presenting a false health claim as factual, without corrections, refutations, or disclaimers""",,
2-s2.0-85114336487#167,2-s2.0-85114336487,texts/2-s2.0-85114336487.txt,% of survey respondents who report ALWAYS recirculating information about natural remedies as protective measures against COVID-19 on social media,"1,249 Saudi Arabian survey respondents aged 18+ (275 health-care workers, 974 non-health-care workers)","""the sharing and resharing of medical information, whether true or false, on social media platforms regarding COVID-19""",,
2-s2.0-85126342062#176,2-s2.0-85126342062,texts/2-s2.0-85126342062.txt,% of popular Asperger-related tweets classified as containing misinformation,"227 popular tweets (more than 30 likes) in English containing 'Aspergers' or 'Aspie', posted 1-14 May 2021 (34 before and 193 after Musk's disclosure)","whether the post contained correct information (eg, ""people with Asperger have difficulties in social interaction""), misinformation (eg, ""people with Asperger have an IQ below average""), or neutral information (eg, ""my son has Asperger"")",,
