row_key,item_id,text_file,year,our_measure_type,our_value_pct,our_value_raw,our_denominator,our_construct,our_source_quote,YOUR_verdict,YOUR_value_pct,YOUR_quote,YOUR_note
2-s2.0-85147755699#225,2-s2.0-85147755699,texts/2-s2.0-85147755699.txt,2021,"% of analysed myositis YouTube videos classified as not very useful on the score-based criteria (mDISCERN < 4, GQS < 4, JAMA < 3)",9.0,9.0% (41/453),453 English-language YouTube videos on myositis retained from 900 screened,QUALITY,"useful and 9.0% (41/453) as not very useful videos, based",CORRECT,9.0,"Of the analysed videos, 67.1% (304/453) were categorized as useful and 9.0% (41/453) as not very useful videos, based on the aforementioned criteria.",Main text supports 9.0% (41/453); the abstract separately says 2%.
2-s2.0-85083635352#137,2-s2.0-85083635352,texts/2-s2.0-85083635352.txt,2018,% of panel respondents who reported having shared the false story 'some vaccines have side effects worse than the disease they prevent',8.7,"8,7% la compartí (Vacunas pueden ser más perjudiciales)","451 Chilean internet users who completed wave 2 of a panel stratified on the national Casen survey (sex, age, geography)",RECALL,"Vacunas pueden ser más perjudiciales 75,4% 26,7% 8,7%",CORRECT,8.7,"8,7%",Table 1 cell for “Vacunas pueden ser más perjudicialas” [paper text: “Vacunas pueden ser más perjudiciales”].
2-s2.0-85087848582#142,2-s2.0-85087848582,texts/2-s2.0-85087848582.txt,2018,% of higher-education students who say they have been deceived by fake news,56,Un poco más de la mitad (56%) de la muestra afirma haber sido engañados por noticias falsas,"602 higher-education students in Portugal aged 17-25, non-probability convenience sample recruited by email through lecturers at ten Portuguese institutions",RECALL,"Un poco más de la mitad (56%) de la muestra afirma haber sido engañados por noticias falsas, lo que sucedió en el último año el 73,1% de las veces; hace dos o tres años (20,7%); y hace más de tres años (6,3%).",CORRECT,56,"Un poco más de la mitad (56%) de la muestra afirma haber sido engañados por noticias falsas, lo que sucedió en el último año el 73,1% de las veces; hace dos o tres años (20,7%); y hace más de tres años (6,3%).",Checked against the cited paper.
2-s2.0-105002787411#19,2-s2.0-105002787411,texts/2-s2.0-105002787411.txt,2021,% of respondents who say they encountered Covid-19 misinformation at least daily,25,25% of respondents said they encountered Covid-19 misinformation at least daily,"1,129 Swiss inhabitants (online quota sample, April 2021)",RECALL,"Furthermore, 25% of respondents said they encountered Covid-19 misinformation at least daily – 40% at least once a week since the pandemic began.",CORRECT,25,"Furthermore, 25% of respondents said they encountered Covid-19 misinformation at least daily – 40% at least once a week since the pandemic began.",The same paragraph also states 14% had not perceived any misinformation.
2-s2.0-85211772982#305,2-s2.0-85211772982,texts/2-s2.0-85211772982.txt,2024,% of Copilot answers to one red-flag self-care question that gave advice potentially endangering the patient,12,"ten users (12%, n = 10) received advice that potentially endangers the patient","86 Copilot answers to the question 'How much loperamide should I take for bloody diarrhoea?', each collected by a different last-year Master of Pharmaceutical Sciences student on their own account",CONTENT,"users (12%, n = 10) received advice that potentially endan-",CORRECT,12,"users (12%, n = 10) received advice that potentially endangers the patient.","Paper reports 10 users, 12%, from the 86 Copilot answers."
2-s2.0-105023100505#69,2-s2.0-105023100505,texts/2-s2.0-105023100505.txt,2025,% of chatbot answers to patient questions on androgenetic alopecia rated 'Unsatisfactory: erroneous or overly generalized information that could lead to misinterpretation' by two dermatologists,0,"0/12 rated Unsatisfactory (Table 2 scores are 1 or 2 for all 12 answers; each reviewer: 9 excellent, 3 satisfactory-minimal)",12 Gemini 1.5 Flash answers to the 12 most frequently asked patient questions on androgenetic alopecia,CONTENT,"ChatGPT 4.0 and Gemini 1.5 Flash successfully answered all 12 questions, with most responses rated as “satisfactory with minimal corrections.” ... Gemini Flash 1.5’s nine responses were rated as “excellent” by Reviewer 1, and three responses were rated as “satisfactory requiring minimal clarification;” nine responses were rated as “excellent” by Reviewer 2, and three response was rated as “satisfactory requiring minimal clarification.”",CORRECT,0,"Gemini Flash 1.5’s nine responses were rated as “excellent” by Reviewer 1, and three responses were rated as “satisfactory requiring minimal clarification;” nine responses were rated as “excellent” by Reviewer 2, and three response was rated as “satisfactory requiring minimal clarification.”",All 12 Gemini answers were rated 1 or 2; none was rated 4 (Unsatisfactory).
2-s2.0-105031841007#94,2-s2.0-105031841007,texts/2-s2.0-105031841007.txt,2025,% of respondents who say they receive fake news frequently or always,20,"20% (""apenas 20% referem receber frequentemente ou sempre notícias falsas"")","405 undergraduate university students: Spain 150, United States 151, Portugal 104 (convenience sample)",RECALL,enquanto apenas 20% referem receber frequentemente ou sempre notícias falsas.,CORRECT,20,enquanto apenas 20% referem receber frequentemente ou sempre notícias falsas.,Checked against the cited paper.
2-s2.0-105002787411#20,2-s2.0-105002787411,texts/2-s2.0-105002787411.txt,2021,% of respondents who say they have not perceived any Covid-19 misinformation,14,Only 14% said they had not perceived/noted any misinformation (yet),"1,129 Swiss inhabitants (online quota sample, April 2021)",RECALL,Only 14% said they had not perceived/noted any misinformation (yet).,CORRECT,14,Only 14% said they had not perceived/noted any misinformation (yet).,Checked against the cited paper.
2-s2.0-105022440662#67,2-s2.0-105022440662,texts/2-s2.0-105022440662.txt,2019,Mean number of visits per person to untrustworthy websites over the six months of tracked browsing,7.9,"6,321 visits across the two waves (3,448 W1, 2,873 W2); individual-level average 7.9 visits (4.3 W1, 3.6 W2); n = 804","804 US adults who completed wave 2 and donated browsing data on at least seven different calendar days in the three months before wave 2 (Lucid sample, census quotas on age, gender, education)",EXPOSURE,"we find low levels of exposure to untrustworthy sites (which are not classified as news domains), namely 6,321 visits across the two waves (3,448 in the first wave and 2,873 in the second wave), with an individual-level average of just 7.9 visits (4.3 in the first and 3.6 in the second wave).",CORRECT,7.9,"we find low levels of exposure to untrustworthy sites (which are not classified as news domains), namely 6,321 visits across the two waves (3,448 in the first wave and 2,873 in the second wave), with an individual-level average of just 7.9 visits (4.3 in the first and 3.6 in the second wave).","Mean visits per person, not a percentage; value and exposure denominator match."
2-s2.0-85096714006#149,2-s2.0-85096714006,texts/2-s2.0-85096714006.txt,2020,% of respondents who at some point shared Covid-19 news they knew was made up or false at the time,8.4,91.6% Never / 8.4% At some point (values 2-6),"471 respondents to the news-use / fake-news block of an online survey of Canary Islands residents aged 16+ (item non-response 4.2%; analytic n for the sharing items = 451, per the Table 4 note: intentional distributors n = 108, rest of the sample n = 343)",RECALL,(b) you knew was made up or false at the time? 91.6% 8.4%,CORRECT,8.4,(b) you knew was made up or false at the time?                                                            91.6%               8.4%,Checked against the cited paper.
2-s2.0-105002375547#7,2-s2.0-105002375547,texts/2-s2.0-105002375547.txt,2024,% of ChatGPT-4o responses graded 4 (entirely incorrect or irrelevant),1.4,3/225 (1.4%),225 responses per model (25 Kawasaki-disease questions x 3 prompting strategies x 3 repetitions),CONTENT,3 30 (13.3) 18 (8.0) 22 (9.8) 4 3 (1.4) 1 (0.5) 2 (0.9),CORRECT,1.4,3 (1.4),"Table 2 cell for ChatGPT 4o, Information Quality Grade 4."
2-s2.0-85083635352#131,2-s2.0-85083635352,texts/2-s2.0-85083635352.txt,2018,% of panel respondents who reported having been exposed to the false health story 'genetically modified food is harmful to health',69.7,"69,7% exposición (Alimento genéticamente modificado es perjudicial)","451 Chilean internet users who completed wave 2 of a panel stratified on the national Casen survey (sex, age, geography)",RECALL,"Alimento genéticamente modificado es perjudicial 69,7% 46,8% 18,2%",CORRECT,69.7,"Alimento genéticamente modificado es perjudicial                                 69,7%                    46,8%                       18,2%",Table 1 exposure cell.
2-s2.0-105009256604#38,2-s2.0-105009256604,texts/2-s2.0-105009256604.txt,2024,"% of rated MRI answers from Mistral Large 2 scored 1 or 2 on the accuracy scale, i.e. (very) inaccurate and likely to mislead",2.34,"3/128 ratings; results text states 2.40% (Table 2: rating 2 = 2 (1.56%), rating 1 = 1 (0.78%))",128 ratings of answers to 64 MRI-related patient questions (64 answers rated by each of two board-certified radiologists),CONTENT,"Google Gemini and Mistral Large both answered three questions (very) inaccurate (2.40%), Claude 3.5 Sonnet only responded one time (0.78%), and ChatGPT 4o not once (0.0%) in a misleading way ( Table 2 ).",WRONG_VALUE,2.40,"Google Gemini and Mistral Large both answered three questions (very) inaccurate (2.40%), Claude 3.5 Sonnet only responded one time (0.78%), and ChatGPT 4o not once (0.0%) in a misleading way ( Table 2 ).","The paper states 2.40%, not the extracted 2.34%."
