row_key,item_id,text_file,year,our_measure_type,our_value_pct,our_value_raw,our_denominator,our_construct,our_source_quote,YOUR_verdict,YOUR_value_pct,YOUR_quote,YOUR_note
2-s2.0-85109637895#159,2-s2.0-85109637895,texts/2-s2.0-85109637895.txt,2020,% of Covid-19 disinformation messages classified as conspiracy theory,41,41% of 802 disinformation messages,802 WhatsApp messages already classified as containing Covid-19 disinformation,CONTENT,"However, conspiracy theories were the most prevalent category in our dataset (41%).",,,,
2-s2.0-105002375547#15,2-s2.0-105002375547,texts/2-s2.0-105002375547.txt,2024,% of Gemini 1.5 Pro responses containing fabricated or distorted information (confabulation),4.0,9/225 (4.0%),225 responses per model (25 Kawasaki-disease questions x 3 prompting strategies x 3 repetitions),CONTENT,"Confabulation, n (%) 13 (5.8) 12 (5.3) 9 (4.0) 0.675",,,,
2-s2.0-105020727860#54,2-s2.0-105020727860,texts/2-s2.0-105020727860.txt,2024,"% of expert ratings of chatbot answers scored Mika 4, 'unsatisfactory requiring substantial clarification' (incorrect or overly generalized information)",21.3,"17/80, 21.3%","80 reviews (10 Delphi-consensus questions answered by Google Gemini, each rated by 8 sports-medicine fellowship-trained orthopaedic surgeons)",QUALITY,"Google Gemini had the highest percentage of reviews (17/80, 21.3%) considered to be “unsatisfactory requiring substantial clarification”, or a Mika score of 4 (p < 0.001).",,,,
2-s2.0-85211158486#291,2-s2.0-85211158486,texts/2-s2.0-85211158486.txt,2023,Mean respondent estimate of the % of all information encountered that is misinformation (0-100 slider),57.01,"Mexico: M = 57.01, SD = 22.91, N = 461 (Table 3, Misinformation column)","All information the respondent encounters, as estimated by the respondent; averaged over 461 respondents in Mexico",RECALL,"Table 3. Mean Perceived Misinformation and Disinformation Prevalence Across Countries. United States 52.33 (25.55) / 53.01 (26.21), N = 521; Spain 53.30 (22.93) / 51.49 (23.71), N = 576; The Netherlands 45.93 (22.76) / 42.72 (25.24), N = 518; Argentina 53.63 (20.71) / 54.67 (22.85), N = 507; Mexico 57.01 (22.91) / 57.01 (23.35), N = 461; Chile 53.71 (22.41) / 52.73 (23.92), N = 485; Brazil 49.94 (24.31) / 54.27 (25.79), N = 650; Total 52.11 (23.38) / 52.25 (24.86), N = 3,718.",,,,
2-s2.0-105013056526#42,2-s2.0-105013056526,texts/2-s2.0-105013056526.txt,2024,% of respondents reporting encountering food-related fake news at least once a week,21.5,21.5%,"2,284 consumers recruited at nine Italian community pharmacies, aged 18-75 (convenience sample)",RECALL,(21.5%) or several times a month (52.7%). About 78%,,,,
2-s2.0-105014886450#45,2-s2.0-105014886450,texts/2-s2.0-105014886450.txt,2021,% of respondents who report having shared COVID-19 information online that they later found to be false,21.4,"mean score for misinformation sharing was 0.21 (SD = 0.41), with 21.4% of respondents reporting that they had shared COVID-19-related news or information on online platforms","1,094 Chinese respondents from 27 provinces and autonomous regions, recruited via the WJX online survey platform",RECALL,"The descriptive statistics indicate that the mean score for misinformation sharing was 0.21 (SD = 0.41), with 21.4% of respondents reporting that they had shared COVID-19-related news or information on online platforms (e.g., WeChat Moments/WeChat groups) that was later found to be false.",,,,
2-s2.0-85146406902#218,2-s2.0-85146406902,texts/2-s2.0-85146406902.txt,2023,% of the false headlines shared that were shared by the 15% most habitual news sharers,37,the 15% most habitual sharers were responsible for 37% of the false headlines that were shared in this study,"all false headlines shared by the 200 Study 1 participants (each saw 8 true and 8 false headlines; 3,200 sharing observations)",CONCENTRATION,"We also calculated the contribution of highly habitual sharers to spread of misinformation. In fact, the 15% most habitual sharers were responsible for 37% of the false headlines that were shared in this study.",,,,
2-s2.0-85147686336#223,2-s2.0-85147686336,texts/2-s2.0-85147686336.txt,2019,% of IPF tweets that mention a specific therapy that were inaccurate compared with current IPF guidelines,14,81/559 (14%),559 tweets with a verifiable medical statement that mentioned a specific therapy,CONTENT,"Of the 559 tweets mentioning a specific therapy, 81 (14%) were inaccurate tweets.",,,,
2-s2.0-105031802360#87,2-s2.0-105031802360,texts/2-s2.0-105031802360.txt,2024,% of references generated by ChatGPT-4o that were fabricated (not indexed in any database),27.7,133 (27.7%) of 480 references,480 references generated by ChatGPT-4o (4 references for each of 120 open-ended radiology questions across 8 subspecialties),CONTENT,0 (fabrication)                      15 (3.1%)                 88 (18.3%)            133 (27.7%)       254 (52.9%)                     226 (47.1%)                291 (60.6%),,,,
2-s2.0-85139957474#198,2-s2.0-85139957474,texts/2-s2.0-85139957474.txt,2018,% of respondents who say they come across news or information that misrepresents reality or is even false every day or almost every day,53,Spain (53%),Spanish respondents in Flash Eurobarometer 464 (national n not stated; mean per-country sample 982),RECALL,"One could think that regional grouping (Nordic vs. Latin countries, for example) could explain this phenomenon, but similar differences are also found among proximate countries such as Spain (53%), France (39.5%), and Portugal (32.5%).",,,,
